country,stability,rights,health,safety,climate,cost,popularity,iso_alpha,population (thousands)
Australia,86,92,87,100,90,23,41,AUS,26005
San Marino,81,82,91,87,62,61,47,SMR,33.66
Hong Kong,77,85,100,97,49,61,41,HKG,7326
Switzerland,91,99,93,99,34,44,46,CHE,8775
Macao,90,71,100,93,48,61,44,MAC,695
Malta,86,72,91,92,75,41,44,MLT,531
Luxembourg,93,99,85,100,25,46,42,LUX,653
Bermuda,89,78,96,93,68,34,35,BMU,63
Singapore,83,89,79,100,45,55,39,SGP,5637
Spain,64,73,87,95,74,43,66,ESP,47778
Japan,87,86,92,97,58,27,36,JPN,125124
Austria,83,91,97,98,27,37,47,AUT,9041
Portugal,80,77,82,93,68,44,37,PRT,10409
Canada,85,92,78,97,33,37,62,CAN,38929
Germany,82,94,96,95,21,44,42,DEU,83797
Norway,89,99,90,99,16,42,37,NOR,5457
South Korea,81,75,92,95,56,42,39,KOR,51628
Cyprus,67,68,77,93,75,53,50,CYP,1251
New Zealand,91,100,81,95,35,26,37,NZL,5124
Sweden,87,99,85,96,20,40,37,SWE,10486
France,72,83,91,93,41,29,71,FRA,67917
Finland,85,100,87,93,17,46,32,FIN,5556
Denmark,86,100,85,95,17,35,45,DNK,5903
Netherlands,84,98,83,96,20,40,37,NLD,17700
Uruguay,67,79,75,82,77,47,30,URY,3422
United States,63,81,71,85,66,37,67,USA,333287
United Arab Emirates,82,65,65,93,62,67,28,ARE,9441
Slovenia,80,73,83,96,40,57,32,SLO,2111
Czechia,78,73,90,93,22,49,59,CZE,10672
Qatar,77,60,62,94,60,70,38,QAT,2695
Croatia,67,58,80,91,57,67,40,HRV,3855
Israel,57,72,84,81,81,36,33,ISR,9557
Greece,60,61,89,88,69,44,43,GRC,10426
Poland,69,67,79,93,26,58,69,POL,36821
Italy,65,65,87,89,57,30,65,ITA,58940
Hungary,70,57,81,88,42,56,57,HUN,9643
Chile,66,79,68,87,47,54,36,RCH,19603
Iceland,82,92,87,97,7,36,33,ISL,382
Belgium,75,87,88,92,20,32,40,BEL,11685
Estonia,80,89,81,92,17,43,26,EST,1348
Ireland,84,90,82,96,2,35,42,GBR,5127
Bulgaria,68,51,81,85,50,62,40,BGR,6465
United Kingdom,76,91,78,95,6,34,42,GBR,66971
Slovakia,73,67,77,89,34,42,41,SVK,5431
Saudi Arabia,53,45,61,90,52,76,55,SAU,36408
Latvia,74,74,77,87,19,55,24,LVA,1879
Lithuania,77,75,82,88,20,43,23,LTU,2831
Bahrain,59,45,61,92,63,72,28,BHR,1472
Oman,68,51,64,92,43,68,31,OMN,4576
North Macedonia,56,48,70,87,56,64,36,MKD,2057
Romania,64,57,73,88,37,68,25,ROU,19047
Thailand,61,40,65,96,46,55,63,THA,71697
Malaysia,70,58,61,91,44,46,41,MYS,33938
Costa Rica,69,69,64,73,44,46,32,CRI,5180
Georgia,46,63,67,88,44,58,36,GEO,3712
Maldives,64,39,72,87,62,59,18,MDV,523
Samoa,76,63,50,83,46,58,14,WSM,222
China,69,37,67,90,56,38,57,CHN,1412175
Kuwait,66,47,66,88,32,74,25,KWT,4268
Paraguay,57,37,51,76,78,66,35,PRY,6780
Argentina,41,44,79,78,77,41,38,ARG,46234
Montenegro,50,52,68,85,53,61,24,MNE,617
Morocco,56,40,53,87,81,45,36,MAR,37457
Peru,55,46,54,84,70,50,34,PER,34049
Tunisia,38,49,60,82,79,47,39,TUN,12356
Sri Lanka,52,43,62,92,57,56,33,LKA,22181
Albania,58,43,64,84,55,57,26,ALB,2777
Ecuador,61,36,60,88,57,61,27,ECU,18001
Mongolia,59,44,60,72,44,70,31,MNG,3398
Bosnia and Herzegovina,47,38,69,86,49,70,26,BIH,3233
Armenia,36,51,70,93,50,57,23,ARM,2780
Jordan,50,48,60,77,52,63,27,JOR,11285
Turkey,31,38,64,87,62,59,50,TUR,84979
Serbia,54,44,71,87,51,57,11,SRB,6664
Senegal,64,47,33,91,52,56,36,SEN,17316
Rwanda,68,48,27,72,60,58,37,RWA,13776
South Africa,47,54,31,43,95,49,40,ZAF,59893
India,48,46,35,79,67,45,59,IND,1417173
Algeria,35,24,61,97,78,55,36,DZA,44903
Mexico,46,37,54,52,83,34,69,MEX,127504
Kazakhstan,54,36,69,82,40,60,33,KAZ,19621
Vietnam,67,35,54,76,52,51,33,VNM,98186
Indonesia,61,44,39,98,39,54,38,IDN,275501
Bolivia,57,28,45,68,85,51,33,BOL,12224
Moldova,51,41,67,84,40,62,15,MDA,2538
Trinidad and Tobago,68,50,61,39,51,48,30,TTO,1531
Timor-Leste,65,37,42,42,72,67,23,TLS,1341
Ukraine,42,36,71,82,33,60,38,UKR,38000
Egypt,36,26,44,83,68,59,52,EGY,110990
Brazil,37,45,63,60,65,44,35,BRA,215313
Dominican Republic,50,41,52,67,60,49,30,DOM,11228
Jamaica,55,52,51,37,73,47,18,JAM,2827
Madagascar,49,28,22,86,77,66,33,MDG,29611
Tanzania,51,34,21,57,88,56,46,TZA,65497
Russia,47,26,74,75,33,62,42,RUS,144236
Ghana,48,51,26,95,56,42,38,GHA,33475
Nepal,53,35,34,89,56,57,28,NPL,30547
Malawi,42,38,20,78,82,50,40,MWI,20405
Kenya,41,33,25,72,92,45,44,KEN,54027
Suriname,44,43,50,73,35,62,38,SUR,618
Laos,68,19,30,76,48,73,34,LAO,7529
Colombia,47,46,62,30,61,46,28,COL,51874
Pakistan,24,26,31,92,72,63,41,PAK,235824
Philippines,52,39,45,67,49,46,34,PHL,115559
Gambia,47,38,21,79,57,58,31,GMB,2705
Kyrgyzstan,36,27,57,58,48,71,30,KGZ,6974
Azerbaijan,46,24,70,38,56,64,19,AZE,10141
Honduras,46,26,46,43,78,57,23,HND,10432
Guatemala,52,28,44,71,61,45,26,GTM,17357
Bangladesh,43,26,44,74,50,61,33,BGD,171186
Lebanon,10,25,65,76,71,41,46,LBN,5489
El Salvador,59,39,49,21,66,50,14,SLV,6336
Belarus,37,28,82,81,22,40,37,BLR,9228
Cambodia,56,19,28,68,52,66,35,KHM,16767
Uganda,48,30,14,62,71,57,37,UGA,47249
Zambia,34,32,18,60,68,58,47,ZMB,20017
Lesotho,36,40,12,24,89,57,37,LSO,2305
Gabon,48,25,32,52,44,46,73,GAB,2388
Burma,31,24,32,63,50,73,33,BUR,5418
Nicaragua,45,18,45,73,61,41,25,NIC,6948
Togo,49,29,12,75,50,54,39,TGO,8848
Tajikistan,51,13,53,58,48,51,34,TJK,9952
Ivory Coast,47,36,11,58,52,57,37,CIV,28160
Iran,19,15,60,79,56,43,40,IRN,88550
Ethiopia,27,31,16,31,81,63,43,ETH,123379
Burundi,31,11,9,62,76,66,54,BDI,12889
Sierra Leone,38,34,6,69,43,64,48,SLE,8605
Zimbabwe,29,14,13,74,91,37,36,ZWE,16320
Angola,27,24,10,55,63,53,31,AGO,35588
Mozambique,36,26,10,4,80,53,36,MOZ,32969
Afghanistan,28,9,20,19,58,63,63,AFG,41128
Iraq,16,12,42,29,37,75,33,IRQ,44496
Cameroon,40,19,9,27,60,51,34,CMR,27914
Nigeria,18,24,12,23,53,57,41,NGA,218541
Chad,46,12,0,31,50,49,44,TCD,17723
Sudan,8,11,18,55,40,66,24,SDN,46874
Congo (Dem. Republic),32,7,6,10,54,60,36,COD,99010
